id,screenname,name,verified,desc,favorites_ct,followers_ct,friends_ct,tweets_ct,type
10403,chiodos,Chiodos,True,,1424,84997,111,5206,1
1506671,ADS_Update,ADS,False,"The Archaeology Data Service, we support research, learning and teaching with high quality and dependable digital resources and archiving for archaeology.",534,3396,280,1436,1
2271291,raceidaho,StateLine Speedway,False,"Catch the Action! Racing WED, FRI, & SAT Nights. Big Fun, Big Events, Close to home.",28,824,34,406,1
2533821,taurus,Taurus,False,Horoscopes and enlightenments that circle this earth sign.,0,17835,7647,289,1
3435441,mrseo,Matt,False,Superior San Francisco SEO Services. Obtaining traffic though highly targeted keywords. #SanFranciscoSEO,1,1968,1608,3104,1
6217192,Got2beGreen,Got2beGreen,False,Got2BeGreen one of the top eco-friendly sites on the net Bringing green living to the mainstream on how to save money save energy and live in harmony with Earth,0,778,337,334,1
6959082,TimesLIVE,Times LIVE,True,Links to breaking news from http://t.co/MEVTauOEL0.,3,425081,614,121327,1
8147432,BIZercize,BIZercize,False,"Patti Serrano helps BIZZY Entrepreneurs create Healthy Lifestyles by trainings and teachings in Business and Wellness.
http://t.co/L3M4jdAQ",12,1121,945,6834,1
8454762,deluxemodern,deluxemodern design,False,"design + brand | deluxemodern | miss modern shop
http://t.co/0sfwxNm0do
http://t.co/NbU3vrUBAM
christine@deluxemoderndesign.com",106,1585,1509,4264,1
8560222,buzzradiodotcom,Buzz-Radio.com,False,"Supporting local heavy music through Blogging, photography, video and podcasts.",68,5018,3267,5966,1
9563382,cmail_sport,Courier Mail Sport,True,"Brisbane, Queensland, Australian and World Sports News from http://t.co/Zvs55l0I98",317,6260,154,45110,1
9635952,frenchhater,J.F. Frenchhater,False,http://t.co/TG3TFCA7dt,0,26,0,119,1
10287992,CRESInsurance,CRES Insurance,False,"We minimize business risks for real estate professionals by delivering safe, simple and smart products so they can focus on current and future success.",149,1195,796,2042,1
10942902,longjump,LongJump,False,"Application Platform-as-a-Service solution for public cloud, private cloud & hybrid cloud.",1,269,72,127,1
11673252,allvoices,allvoices,False,"Where writers connect, share content, gain exposure, and even earn money. Apply to join the platform!",4,11012,2075,129688,1
14435582,adriaan3333,AdriaanSchipperREMAX,False,Your Neighbourhood Realtor for Dedicated &amp; Professional Services,0,17,7,134,1
14558133,dentalsalespro,dentalsalespro,False,The online resource for the Dental Sales Professional.,5,2556,1388,628,1
14707220,BowlRotoGrip,Roto Grip Bowling,False,Good innovative products and the best customer service.,560,10822,487,3704,1
14787980,klru,klru,False,"Community supported non-profit inspiring Austin through programs and events encouraging exploration, creativity and understanding.",307,28088,6339,9512,1
14986811,ACTORSandCREW,ACTORSandCREW,False,Politics and Showbiz.  Mostly politics.,144,71774,57194,71240,1
15099160,Cricket_Fan,Cricket fan news,False,Latest news from around the web on cricket,0,560,105,191,1
15167931,VoxTelecom,Vox Telecom,False,"Vox Telecom Limited is a leading alternative, independent telecom operator, providing voice and data services to the southern African market.",101,1029,287,942,1
15233659,artsadm,Artsadm*n,False,"An arts lab for the 21st Century, we produce and tour new performance, site-specific and interdisciplinary work. We're also the folks behind Toynbee Studios.",662,24521,1297,5931,1
15431833,thinkmagHQ,Thinkmagazine,False,The quintessential destination to sustainable living,12,1363,2000,1280,1
15447049,macorama,macorama,False,"Business Support, Service & Repair, Warranty Repairs, Upgrades, Training & Consulting In Store Or At Your Location",2,268,461,274,1
15453666,twellowup,twellowup,False,"Official updates from Twellow, the online social media directory from the producers of WEbProNews!",0,300,8,671,1
15824798,FacialPlastics,Facial Plastics,False,Double board certified facial plastic surgeons who try to dispel truth from hype when it comes to all that goes into facial plastics.,1,906,156,490,1
15834994,Web_Design_EWM,EWMultimedia,False,Web management service providing tools and insight to help you achieve tangible results.,5,537,1513,289,1
15840088,NCTM,NCTM,False,The National Council of Teachers of Mathematics is the public voice of mathematics education. More and better mathematics for all!,8750,35198,618,5737,1
15904720,BR_NYKnicks,New York Knicks,False,Entertaining content and breaking news from all of the top Knicks sources on the Web.,0,6242,0,8259,1
15936868,VeganNewsNet,VNN,False,Vegan News for The Animals ~ Our Planet ~ Your Health... LIFE! http://t.co/m5MrvhVZQT,430,12146,9073,35018,1
16030857,Link_Atlanta,Link_Atlanta,False,See my extended bio on Twellow http://t.co/AFWKkQ04rf,2,2467,3245,1254,1
16079569,tcimc,TwinCities Indymedia,False,Twin Cities IMC breaking news--Movement Media for the Masses--for feature updates follow @TCIMCfeatures,0,1472,1202,387,1
16104602,Chicago_Reader,Chicago Reader,False,An illustrious free weekly from Chicago,3363,127263,1742,33607,1
16161860,ideum,ideum,False,"Multitouch hardware and software. We focus on exhibit design, multitouch, new HCI technology for museums and nonprofits, and socially responsible companies.",267,10051,10037,2586,1
